task,seed,fold,method,rank,feature,dataset,selected
motif_apc_t_contact,1,0,shap,4,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,1,0,shap,5,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,6,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,7,mixing::neighbor_fraction__Tumor (CK+ HR hi)__to__Tumor (Hypoxic),bc_jackson2020,True
motif_apc_t_contact,1,0,shap,8,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,9,mixing::neighbor_fraction__Tumor (Proliferative)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,0,shap,10,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,11,mixing::neighbor_fraction__Stromal cells__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,12,mixing::neighbor_fraction__Macrophage__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,13,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,0,shap,14,mixing::neighbor_fraction__Macrophage__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,15,mixing::neighbor_fraction__T & B cells__to__Tumor (Hypoxic),bc_jackson2020,True
motif_apc_t_contact,1,0,shap,16,point-pattern::Tumor (Epithelial low)_L_r200,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,17,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (Proliferative),bc_jackson2020,True
motif_apc_t_contact,1,0,shap,18,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,0,shap,19,mixing::neighbor_fraction__Tumor (Proliferative)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,0,shap,20,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,3,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,4,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,5,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,6,mixing::neighbor_fraction__Tumor (Proliferative)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,7,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,8,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,9,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,10,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,11,mixing::neighbor_fraction__Tumor (CK7+)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,12,mixing::shannon_entropy_global,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,13,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,14,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,15,mixing::neighbor_fraction__Endothelial__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,16,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,17,mixing::local_mixing_std,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,18,mixing::neighbor_fraction__Tumor (CK7+)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,19,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,1,lasso,20,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,2,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (CK lo HR hi p53+),bc_jackson2020,True
motif_apc_t_contact,1,1,shap,3,mixing::neighbor_fraction__Tumor (CK7+)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,4,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,5,mixing::neighbor_fraction__Endothelial__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,1,shap,6,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,1,shap,7,mixing::neighbor_fraction__Tumor (Proliferative)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,8,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,9,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,10,mixing::shannon_entropy_global,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,11,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,12,mixing::neighbor_fraction__Tumor (CK7+)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,1,shap,13,mixing::local_mixing_std,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,14,density::tissue_density::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,1,shap,15,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,1,shap,16,mixing::neighbor_fraction__Macrophage__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,17,mixing::neighbor_fraction__Macrophage__to__Tumor (CK7+),bc_jackson2020,True
motif_apc_t_contact,1,1,shap,18,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,19,mixing::neighbor_fraction__Tumor (CK+ HR hi)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,1,shap,20,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,3,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,4,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,5,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,6,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,7,mixing::local_mixing_std,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,8,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,9,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,10,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,11,mixing::neighbor_fraction__Tumor (Basal CK)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,12,mixing::neighbor_fraction__Tumor (CK7+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,13,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK7+ CK hi Ecadh hi),bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,14,mixing::neighbor_fraction__Tumor (CK+ HR hi)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,15,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,16,mixing::neighbor_fraction__Tumor (p53+ EGFR+)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,17,mixing::neighbor_fraction__T & B cells__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,18,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,19,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,1,2,lasso,20,mixing::neighbor_fraction__Endothelial__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,1,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR hi p53+),bc_jackson2020,True
motif_apc_t_contact,1,2,shap,2,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,3,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,4,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,2,shap,5,mixing::local_mixing_std,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,6,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,7,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,8,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,9,mixing::neighbor_fraction__T & B cells__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,10,mixing::neighbor_fraction__Tumor (CK+ HR hi)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,2,shap,11,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,12,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,13,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,14,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,15,mixing::neighbor_fraction__Tumor (p53+ EGFR+)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,16,mixing::neighbor_fraction__Tumor (CK7+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,17,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,18,density::tumor_density::Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,19,point-pattern::T & B cells_K_r200,bc_jackson2020,True
motif_apc_t_contact,1,2,shap,20,density::tissue_density::Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,3,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,4,mixing::neighbor_fraction__Macrophage__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,5,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,6,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,7,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (Basal CK),bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,8,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,9,mixing::local_mixing_std,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,10,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,11,mixing::neighbor_fraction__Tumor (Proliferative)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,12,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,13,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,14,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,15,mixing::shannon_entropy_global,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,16,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,17,density::tumor_density::Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,18,mixing::neighbor_fraction__Macrophage__to__Tumor (CK+ HR hi),bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,19,mixing::local_mixing_min,bc_jackson2020,True
motif_apc_t_contact,1,3,lasso,20,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,2,mixing::neighbor_fraction__Tumor (Proliferative)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,3,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,4,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,5,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,3,shap,6,mixing::neighbor_fraction__Macrophage__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,7,mixing::neighbor_fraction__Tumor (CK lo HR hi p53+)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,8,point-pattern::Macrophage_L_r200,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,9,mixing::neighbor_fraction__Tumor (Hypoxic)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,10,mixing::shannon_entropy_global,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,11,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,3,shap,12,mixing::local_mixing_std,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,13,mixing::neighbor_fraction__Tumor (p53+ EGFR+)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,14,mixing::local_mixing_mean,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,15,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,16,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,17,point-pattern::Endothelial_K_r200,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,18,mixing::neighbor_fraction__T & B cells__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,3,shap,19,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,3,shap,20,mixing::neighbor_fraction__Tumor (Epithelial low)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,3,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,4,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,5,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,6,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,7,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,8,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,9,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,10,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,11,mixing::neighbor_fraction__B cell__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,12,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,13,mixing::neighbor_fraction__Tumor (CK+ HR lo)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,14,mixing::neighbor_fraction__Tumor (Basal CK)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,15,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,16,point-pattern::T & B cells_K_r200,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,17,mixing::neighbor_fraction__Macrophage__to__Tumor (CK7+),bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,18,mixing::neighbor_fraction__B cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,19,mixing::local_mixing_min,bc_jackson2020,True
motif_apc_t_contact,1,4,lasso,20,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (CK+ HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,shap,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,3,mixing::neighbor_fraction__Tumor (CK7+ CK hi Ecadh hi)__to__Tumor (CK lo HR hi p53+),bc_jackson2020,True
motif_apc_t_contact,1,4,shap,4,mixing::neighbor_fraction__B cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,5,mixing::neighbor_fraction__Tumor (CK lo HR hi p53+)__to__Tumor (Myoepithelial),bc_jackson2020,True
motif_apc_t_contact,1,4,shap,6,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,7,density::tumor_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,8,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,9,mixing::neighbor_fraction__Endothelial__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,10,density::tissue_density::T cell,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,11,point-pattern::T & B cells_K_r200,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,12,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,13,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,shap,14,mixing::neighbor_fraction__Tumor (Apoptotic)__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,15,mixing::neighbor_fraction__Tumor (Proliferative)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,shap,16,point-pattern::T & B cells_L_r10,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,17,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,shap,18,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,1,4,shap,19,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,1,4,shap,20,composition::T cell,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,1,mixing::neighbor_fraction__Macrophage__to__T cell,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,2,mixing::neighbor_fraction__T cell__to__Macrophage,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,3,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__Stromal cells,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,4,mixing::neighbor_fraction__Tumor (Basal CK)__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,5,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,6,mixing::neighbor_fraction__Tumor (Hypoxic)__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,7,density::tumor_density::Macrophage,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,8,mixing::neighbor_fraction__T & B cells__to__Endothelial,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,9,mixing::neighbor_fraction__Macrophage__to__Tumor (CK lo HR lo),bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,10,mixing::neighbor_fraction__Tumor (Myoepithelial)__to__T cell,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,11,mixing::neighbor_fraction__Tumor (CK lo HR hi p53+)__to__Tumor (CK+ HR hi),bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,12,mixing::neighbor_fraction__Macrophage__to__Tumor (CK7+),bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,13,mixing::neighbor_fraction__Tumor (CK lo HR lo)__to__Tumor (Epithelial low),bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,14,mixing::neighbor_fraction__Endothelial__to__T & B cells,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,15,mixing::local_mixing_min,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,16,mixing::neighbor_fraction__Tumor (Basal CK)__to__B cell,bc_jackson2020,True
motif_apc_t_contact,2,0,lasso,17,mixing::neighbor_fraction__Tumor (CK+ HR+)__to__T cell,bc_jackson2020,True
